Aarav,	33,	36,	27,	15
Aarush,	43,	35,	36,	42
Aayush,	49,	21,	12,	27
Advik,	40,	 9,	13,	26
Akarsh,	40,	26,	22,	36
Arnav,	11,	18,	17,	29
Aniruddh,	32,	30,	12,	23
Bhavin,	17,	35,	29,	 2
Chirag,	22,	 8,	19,	17
Darshit,	43,	 6,	11,	42
Devansh,	29,	23,	21,	19
Dhruv,	34,	37,	48,	24
Divit,	15,	20,	13,	26
Divyansh,	41,	30,	 6,	23
Eshan,	12,	20,	46,	31
Faiyaz,	 5,	25,	34,	27
Gurkiran,	36,	 5,	46,	29
Hansh,	13,	 7,	24,	45
Harikiran,	32,	45,	14,	17
Himmat,	34,	14,	43,	 0
Hiran,	37,	 8,	26,	28
Indrajit,	38,	34,	 3,	 1
Indranil,	 4,	49,	32,	10
Jayesh,	26,	18,	39,	12
Kiaan,	26,	36,	44,	39
Lakshit,	45,	20,	34,	28
Lakshay,	17,	 1,	47,	 2
Madhup,	17,	42,	 2,	 6
Mitul,	 1,	30,	36,	41
Neerav,	15,	39,	44,	19
Nishith,	40,	29,	31,	17
Ojas,	47,	21,	31,	25
Pranay,	 9,	27,	17,	 6
Priyansh,	47,	 3,	36,	15
Rachit,	 6,	33,	19,	24
Reyansh,	28,	21,	32,	29
Ranbir,	 3,	19,	20,	18
Rohan,	 8,	15,	40,	49
Sahil,	46,	23,	18,	45
Samar,	46,	 1,	21,	 5
Shaan,	29,	38,	14,	28
Shlok,	41,	 0,	43,	 0
Shray,	34,	14,	24,	14
Shreyas,	37,	 6,	43,	41
Tushar,	27,	15,	 9,	36
Uthkarsh,	32,	 1,	37,	28
Vaibhav,	25,	 7,	24,	21
Vihaan,	 8,	45,	29,	37
Vivaan,	35,	43,	18,	28
Yakshit,	43,	11,	28,	29
Additri,	26,	 4,	43,	13
Aaryahi,	13,	38,	 6,	40
Adah,	 4,	18,	28,	38
Advika,	19,	17,	17,	46
Ahana,	24,	43,	20,	33
Alisha,	40,	49,	22,	25
Anaya,	44,	40,	 5,	39
Anika,	 4,	36,	19,	32
Anvi,	42,	14,	47,	 7
Aradhya,	 5,	 4,	48,	11
Bhavya,	22,	28,	49,	43
Charvi,	46,	18,	40,	22
Drishya,	11,	10,	 5,	 1
Eva,	11,	30,	28,	 5
Hrishita,	20,	36,	44,	26
Inaaya,	22,	15,	 8,	16
Ira,	32,	 8,	24,	37
Jivika,	12,	24,	 0,	36
Jiya,	 2,	49,	29,	 0
Kashvi,	18,	21,	23,	31
Kavya,	31,	30,	33,	44
Keya,	10,	13,	49,	31
Khushi,	49,	46,	 9,	23
Kiara,	13,	18,	40,	45
Mahika,	26,	16,	34,	40
Mishti,	40,	34,	26,	42
Myra,	36,	 7,	45,	 6
Navya,	29,	18,	37,	12
Neysa,	48,	22,	 9,	 9
Nitya,	36,	10,	42,	37
Pari,	 6,	 1,	13,	22
Parinaaz,	21,	 5,	19,	49
Pihu,	21,	 4,	39,	11
Prisha,	40,	17,	 5,	28
Riya,	27,	 0,	34,	 8
Saanvi,	20,	24,	22,	19
Samaira,	46,	31,	30,	34
Sana,	42,	22,	22,	 0
Sara,	25,	35,	22,	49
Shanaya,	40,	42,	48,	13
Siya,	48,	40,	24,	40
Tanya,	 9,	31,	19,	36
Tara,	32,	 5,	44,	 4
Tiya,	29,	19,	23,	26
Vanya,	 0,	 5,	10,	42
Vardaniya,	29,	34,	43,	 5
Vedika,	21,	17,	 4,	13
Vritika,	11,	 4,	26,	 9
Yashvi,	44,	 2,	 2,	 6
Zara,	34,	21,	42,	18
Zara,	28,	39,	22,	 8
